EngRĩm, qukap, RimSyl
able, Q, {fen}
about, op, ...
account, N, "mitsal"
acid, Q, pefmĩl
across, op, ...
act, N, "mirem, mire-"
addition, N, ...
adjustment, N, ...
advertisement, N, ...
after, op, {aste}
again, op, ...
against, op, ...
agreement, N, ...
air, N, ...
all, op, "rau, Raau"
almost, op, ...
among, op, ...
amount, N, ...
amusement, N, larĩm
and, op, "che, cheli"
angle, PicN, ...
angry, Q, ...
animal, N, "lunim"
answer, N, ...
ant, PicN, ...
any, op, ...
a, op, ...
apparatus, N, ...
apple, PicN, ...
approval, N, ...
arch, PicN, ...
argument, N, ...
arm, PicN, ...
army, PicN, ...
art, N, FeĩMit
as, op, ...
at, op, "a-, an-"
attack, N, ...
attempt, N, ...
attention, N, "aulchom"
attraction, N, ...
authority, N, ...
automatic, Q, ...
awake, Q.opp, ...
baby, PicN, {ilnim}
back, N, ...
bad, Q.opp, ...
bag, PicN, ...
balance, N, ...
ball, PicN, Chol{m}
band, PicN, ...
base, N, ...
basin, PicN, ...
basket, PicN, ...
bath, PicN, ...
beautiful, Q, Feĩ
because, op, ...
bed, PicN, ...
bee, PicN, ...
before, op, {olte}
behaviour, N, ...
belief, N, ...
bell, PicN, ...
bent, Q.opp, ...
be, op, ni
berry, PicN, ...
between, op, ...
bird, PicN, ...
birth, N, ...
bite, N, ...
bit, N, "{bit}, {bip}, bĩm"
bitter, Q.opp, ...
black, Q, ...
blade, PicN, ...
blood, N, ...
blow, N, ...
blue, Q.opp, ...
board, PicN, ...
boat, PicN, ...
body, N, ...
boiling, Q, ...
bone, PicN, ...
book, PicN, fĩc
boot, PicN, ...
bottle, PicN, ...
box, PicN, ...
boy, PicN, ...
brain, PicN, ...
brake, PicN, ...
branch, PicN, {fĩr}
brass, N, ...
bread, N, ...
breath, N, ...
brick, PicN, ...
bridge, PicN, ...
bright, Q, ...
broken, Q, ...
brother, N, ...
brown, Q, ...
brush, PicN, ...
bucket, PicN, ...
building, N, ...
bulb, PicN, ...
burn, N, ...
burst, N, ...
business, N, ...
but, op, "no, cheno"
butter, N, ...
button, PicN, ...
by, op, ...
cake, PicN, ...
camera, PicN, ...
canvas, N, ...
card, PicN, ...
care, N, ...
carriage, PicN, ...
cart, PicN, ...
cat, PicN, ...
cause, N, "milim"
certain, Q.opp, ...
chain, PicN, ...
chalk, N, ...
chance, N, ...
change, N, ...
cheap, Q, ...
cheese, PicN, ...
chemical, Q, ...
chest, PicN, ...
chief, Q, ...
chin, PicN, ...
church, PicN, ...
circle, PicN, ...
clean, Q, ...
clear, Q, ...
clock, PicN, ...
cloth, N, ...
cloud, PicN, Lĩr
coal, N, "tsokarb, nĩfi'tsom"
coat, PicN, ...
cold, Q.opp, ...
collar, PicN, ...
colour, N, ...
comb, PicN, ...
come, op, ...
comfort, N, ...
committee, N, ...
common, Q, ...
company, N, {ayikhĩm}...
comparison, N, ...
competition, N, ...
complete, Q.opp, ...
complex, Q, ...
condition, N, ...
connection, N, ...
conscious, Q, ...
control, N, ...
cook, N, ...
copper, N, ...
copy, N, ...
cord, PicN, ...
cork, N, ...
cotton, N, ...
cough, N, ...
country, N, ...
cover, N, ...
cow, PicN, ...
crack, N, ...
credit, N, ...
crime, N, ...
cruel, Q.opp, ...
crush, N, ...
cry, N, ...
cup, PicN, ...
current, N, ...
curtain, PicN, ...
curve, N, ...
cushion, PicN, ...
cut, Q, ...
damage, N, ...
danger, N, ...
dark, Q.opp, ...
daughter, N, ...
day, N, ...
dead, Q.opp, ...
dear, Q.opp, ...
death, N, ...
debt, N, ...
decision, N, qufĩr
deep, Q, ...
degree, N, ...
delicate, Q.opp, ...
dependent, Q, ...
design, N, ...
desire, N, {nelim}
destruction, N, ...
detail, N, ...
development, N, ...
different, Q.opp, ...
digestion, N, ...
direction, N, ...
dirty, Q.opp, ...
discovery, N, ...
discussion, N, ...
disease, N, ...
disgust, N, ...
distance, N, ...
distribution, N, ...
division, N, ...
dog, PicN, ...
do, op, mi-
door, PicN, ...
doubt, N, ...
down, op, ur
drain, PicN, ...
drawer, PicN, ...
dress, PicN, ...
drink, N, ...
driving, N, ...
drop, PicN, ...
dry, Q.opp, ...
dust, N, ...
early, Q, ...
ear, PicN, ...
earth, N, ...
east, op, "nan, nan'yan"
edge, N, ...
education, N, ...
effect, N, ...
egg, PicN, ...
elastic, Q, ...
electric, Q, ...
end, N, ...
engine, PicN, ...
enough, op, ...
equal, Q, ...
error, N, ...
even, op, ...
event, N, ...
ever, op, ...
every, op, raĩ
example, N, ...
exchange, N, ...
existence, N, ...
expansion, N, ...
experience, N, ...
expert, N, ...
