RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
alufĩm'rĩm, "Trade Quaehirrh'rim", VNN, ?, ?
alu'rĩm, "{shorthand} Trade Quaehirrh'rim", VN, ?, ?
Alu'Tei, "{neologism} Reverence {i.e. reincarnational / alternate-world kinship}", ?, ?, ?
aultum'hnym, "Earth pony", ?, ?, ?
aultum'rĩm, aultum language, ?, ?, ?
aultum'shi, "aultum writing (KinSyl)", ?, ?, ?
aultum'tei, "aultum way", ?, ?, ?
chorı̊ma'hnym, "pegasus pony", ?, ?, ?
chorima'rĩm, chorima language, NN, ?, ?
chorı̊ma'tei, "chorı̊ma way", ?, ?, ?
Ei{li}{Jh/Dh}ei, "AppleJack", ᙮ᐁᐤ᙮{ᓕ}ᕞᐤ, ?, ?
EiLirĩm, "Apple Family", N+VS+N, ᙮ᐁᐤ᙮ᓕᕇᒻ, ?
EiLirĩm{i}'rĩm, "Apple Family dialect", N+VS+N{'}+N, ᙮ᐁᐤ᙮ᓕᕇ{ᒻ/ᒥ}ᐧᕇᒻ, ?
EiLusha, "Applebloom", N+VS', ᙮ᐁᐤ᙮ᓘᔕ, ?
Fı̊tarshi{m/n}, "Fluttershy", ?, ᙮ᕖᐤᑕᕐᔑ{ᒽ/ᓐ}, ?
he'hnym, "proper pony", ?, ?, ?
he'hnym'Jehu, "proper pony person", ?, ?, ?
he'Jehu, "proper {human / non-hnym} person", ?, ?, ?
hı̊quae’qurĩm, "hı̊quae invocation", ?, ?, ?
hĩrin’hnym, "unicorn pony", ?, ?, ?
hĩrin’mĩf, "hĩrin magic", ?, ?, ?
mĩfi’qurĩm, "magic spell", ?, ?, ?
hĩrin’rin, "hĩrin language", ?, ?, ?
hĩrin’shi, "hĩrin writing", ?, ?, ?
hĩrin’tei, "hĩrin way", ?, ?, ?
hnym’hı̊quae, "alicorn pony, herder of the three", ?, ?, ?
Hnym'olom, "Ponyville", N+N, ?, ?
{Lo/Lu}Rĩm’hı̊quae, "Princess Luna", ?, ?, ?
...'na'Quaehĩrrh, "of Quaehĩrrh {title}", ?, ?, ?
nan’Kĩrin, "{eastern} Kirin", ?, ?, ?
NifNim'lohnym cf "Nightmare Moon", ?, ?, ?
Nirĩk, "{eastern} Kirin, corrupted", ?, ?, ?
PinkeiPai, "Pinkie Pie", ?, ?, ?
{qa/qu}tei’{yo/yu}shi, "fate emblem / {cutie mark}", N+N, ᖂᑌᐤᐧᔪᔑ, ?
Quaehĩrrh’rĩm, "Quaehĩrrh speech", ?, ?, ?
Quaehĩrrh’rinshi, "Quaehĩrrh writing", ?, ?, ?
qurĩmshi'bip, "teaching cube {for foals}", ?, ?, ?
ReReRei, "Rarity {unique luster}", ?, ?, ?
ReWe-norim, "Equestrian Railways", N+PS+N, ᙮ᕂ᙮ᔦ-ᓄᕆᒻ, ?
rĩrĩm, "let's vibe, vibe check", VS+N, ᕆᕇᒻ, ?
TaiRĩm’hı̊quae, "Princess Celestia {syncs w/'heaven's bird' in Arabic}", N+N, ?, ?
Tei'lushi'lom, elementary school {Tei-flourish-place}, N+V+N, ?, ?
Tsikor, "Image of Chaos, 'Discord'", ?, ?, ?
Tsirekh, "Tirek", ?, ?, ?
TuerFei’fĩm’hĩquae, "Princess Twilight", ?, ?, ?
TuerFei’hĩquae, "Princess Twilight", ?, ?, ?
TuerFei’SherShan, "Twilight Sparkle", ?, ?, ?
