RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
an'teir'LaRĩt'yi, "'nice to meet you' {casual/eager}", ?, ᐊᓐᐧᑌᐃᕐᐧ᙮ᓚ᙮ᕇᑦᐧᔨ, ?
an'teir'RĩMit'yi, "'nice to meet you' {businesslike/serious}", ?, ᐊᓐᐧᑌᐃᕐᐧ᙮ᕇ᙮ᒥᑦᐧᔨ, ?
DoRei{Fei/Fĩ}, "Sweetie Belle", N+N+V, ᙮ᑐ᙮ᕂᐤ᙮{ᕓᐤ/ᕖ}, ?
di'Reĩ'leir'Rĩm'ni?, "'how are you?'", ?, ᑎᐧ᙮ᕂᐤᓓᐃᕐ᙮ᕇᒻᐧᓂ, ?
EiJhei, "Applejack {contraction}", N+N, ᙮ᐁᐤ᙮ᔐᐤ, ?
Ei{li}{Jh/Dh}ei, "Applejack", N{'}+N, ᙮ᐁᐤ{ᓕ}᙮{ᔐ/ᕞ}ᐤ, ?
EiLusha, "Applebloom", N+VS', ᙮ᐁᐤ᙮ᓘᔕ, ?
Fı̊tarshi{m/n}, "Fluttershy", ?, ᙮ᕖᐤᑕᕐᔑ{ᒽ/ᓐ}, ?
Foshtər, "Horsehead {Tower} {in Manehattan}", N+N, ᙮ᕗᔥᑌᕐ, ?
heĩqu'alurĩm'rĩ, "hello {friendly/outgoing", ?, ᑫᐤᖂᐧᐊᓘᕇᒻᐧᕇ, ?
heĩ'taFeĩTai, "good afternoon", ?, ᑫᐤᐧᑕ᙮ᕓᐤ᙮ᑕᐃ, ?
heĩ'TaĩKienReĩ, "good morning", ?, ᑫᐤᐧ᙮ᑕᐃ᙮ᑭᐁᓐ᙮ᕂᐤ, ?
heĩ'taLoReĩ, "good evening", ?, ᑫᐤᐧᑕ᙮ᓗ᙮ᕂᐤ, ?
hĩeni'aPanTheRĩm, "Happy Hearth's Warming", ?, ᑮᐁᓂᐧᐊ᙮ᐸᓐ᙮ᕞ᙮ᕇᒻ, ?
hĩeni'anLo, "goodnight, 'have a good evening'", ?, ᑮᐁᓂᐧᐊᓐ᙮ᓗ, ?
hĩeni'anTai, "goodbye, 'have a good day'", ?, ᑮᐁᓂᐧᐊᓐ᙮ᑕᐃ, ?
Hnym'olom, "Ponyville", N+N, ᙮ᑭᓂᒻᐧᐅᓗᒻ, 马辺
KinTaiLo{rm/n}, "Canterlot", N+N+N, ᙮ᑭᓐ᙮ᑕᐃ᙮ᓗ{ᕐ/ᓐ}, 马日城
{Lo/Lu}Rĩm'hı̊quae, "Princess Luna", NN+VN, ᙮{ᓗ/ᓘ}᙮ᕇᒻᐧᑭᐤᕾ, 月唱測三
Mənfettan, "Manehattan", ?, ᙮ᒣᓐᕓᑦᑕᓐ, ?
NĩfNim'lohnym, cf Nightmare Moon, NN+NN, ᙮ᓂᕝ᙮ᓂᒻᐧᓗᑭᓂᒻ, 夜夢月马
{P/H}aiqu{n}, "Spike", ?, {ᐸ/ᑲ}ᐃᖂ{ᓐ}, ?
PanThamMĩr, "Hear{th/t}'s Warming {atmosphere}", V+N+N, ᙮ᐸᓐ᙮ᕦᒻ᙮ᒦᕐ, ?
PanTheRĩm, "Hear{t/th}'s Warming {celebration}, song of Hearth's Warming", V+N+N, ᙮ᐸᓐ᙮ᕞ᙮ᕇᒻ, ?
PinkeiPai, "Pinkie Pie", ?, ᙮ᐱᓐᑫᐤ᙮ᐸᐃ, {?石}
Quaehĩrrh'rĩm, "Quaehĩrrh speech", AN+N, ᙮ᕾᑮᕐᐧᕇᒻ, 三族唱
{qu/qa}tei, fate/purpose, VS+N, {ᖂ/ᖃ}ᑌᐤ, 言吾
Raaufĩm, "the nation, fĩm-dom, the All", A+N, ᙮ᕌᐤᕖᒻ, 界友
Raaufĩr, "the Tree of Harmony", A+N, ᙮ᕌᐤᕖᕐ, 界木
ReRei{Fei/Fĩ}, "Rarity {family name}", V+N+V, ᙮ᕂ᙮ᕂᐤ᙮{ᕓᐤ/ᕖ}, ?
ReReRei, "Rarity {unique luster}", V+N+N, ᙮ᕂ᙮ᕂ᙮ᕂᐤ, ?
Rĩf'ishim, "Everfree {forest}", N', ᕇᕝᐧᐃᔑᒻ, ?
Rı̊uChı̊fı̊, "Rainbow Dash", ?, ᙮ᕇᐤᐆ᙮ᒌᐤᕖᐤ, {?虹}
ShanTeiRı̊u, "Scootaloo", ?, ᙮ᔕᓐ᙮ᑌᐤ᙮ᕇᐤᐆ, ?
Tai'hĩen, "thanks", N+P, ᙮ᑕᐃᐧᑮᐁᓐ, ?
TaiRĩm'hı̊quae, "Princess Celestia {syncs w/'heaven's bird' in Arabic}", NN+VN, ᙮ᑕᐃ᙮ᕇᒻᐧᑭᐤᕾ, 日唱測三
Tei'lushi'lom, "elementary school {Tei-flourish-place}", N+V+N, ᙮ᑌᐤᐧᓘᔑᐧᓗᒻ, ?
"teni... [teirĩm]", "'I'm... [name]'", ?, ᑌᓂ... [ᑌᐤᕇᒻ], ?
TherZin'hı̊quae, "Princess Cadance", NV+VN, ᙮ᕞᕐ᙮ᓯᓐᐧᑭᐤᕾ, ?
TuerFei'hı̊quae, "Princess Twilight", NV+VN, ᙮ᑑᐁᕐ᙮ᕓᐤᐧᑭᐤᕾ, ?{暗測三}
TuerFei'SherShan, "Twilight Sparkle", NV+NV, ᙮ᑑᐁᕐ᙮ᕓᐤᐧ᙮ᔐᕐ᙮ᔕᓐ, ?{暗晶}
Uĩ'laĩ!, "{Eĩ'lirĩm} Delicious!", ?, ᐆᐄᐧᓚᐄ, ?
