RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
Aul, aultum, ?, ?, ?
ErChe, with, ?, ?, ?
Che, numbers/counting, N, ᙮ᒉ, ?
CheMĩf, mathematics, N, ᙮ᒉ᙮ᒦᕝ, ?
CheYoRĩm, theorem/illustration/demonstration, N, ᙮ᒉ᙮ᔪ᙮ᕇᒻ, ?
Cho, chorı̊ma, ?, ?, ?
Hĩr, hĩrin, ?, ?, ?
La, lighthearted/fearless, A, ᙮ᓚ, ?
Lai, gentle/soft/resilient, A, ᙮ᓚᐃ, ?
MĩlRĩm, "{eloquent/fluent} language / mode of expression",
She, straightforward/forthright/simple, A, ᙮ᔐ, ?
Sho, steady/consistent/dependable, A, ᙮ᔓ, ?
Ta, "sacrifice / set apart / distinguish", V, ᙮ᑕ, ?
Tes, confident/dependable/bold, A, ᙮ᑌᔅ, ?
