RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
AauFeĩ, "autumn {season of fading}", AN, ᙮ᐋᐤ᙮ᕓᐤ, ?
Aaulĩm, "winter {season of ice}", AN, ᙮ᐋᐤᓕᒻ, ?
Aau{Lo/lu}, "spring {season of moon/growth}", AN, ᙮ᐋᐤ{᙮ᓗ/ᓘ}, ?
Aaurĩm, The Great Dream, A+N, ᙮ᐊᐤᕇᒻ, 大唱
Aaurin, The Caverns of Ice, A+N, ᙮ᐊᐤᕆᓐ, 大理
AauTai, "summer {season of sun}", AN, ᙮ᐋᐤ᙮ᑕᐃ, ?
archer, "foreleg", PN+N, ᐊᕐᒉᕐ, ?
arnoh, "back", PN+N, ᐊᕐᓄᒃ, ?
artsel, "cool, windy, awesome", PN+N, ᐊᕐᒉᓪ, ?
asha{/asha}, "teacher, professor", N, ᐊᓴ, ?学
aulcef, "ugly, unkempt, ugliness", V+N, ᐋᓪᒉᕝ, ?
aultum, Earth pony, VS+PN, ᐋᓪᑐᒻ, 見地
Aurin, "university, higher school", {?VS}+N, ᙮ᐋᕆᓐ, ?学理
ayife'hnym, "employee, assistant", VV+N, ᐊᔨᕓᐧᑭᓂᒻ, ?
chebĩm, "frog {vestigially-opposable grasping apparatus on a hoof}", NN, ᒉᐲᒻ, ?
cher, leg, N, ᒉᕐ, ?
chet, hoof, N, ᒉᑦ, ?
choleĩ, "wings, wing", VS+N, ᒍᓓᐤ, ?集羽
chorı̊ma, pegasus pony, VS+N' {cho + rı̊/rĩm->rı̊ma}, ᒍᕇᐤᒪ, 集唱
choula'pam, donut, VS+A+N, ᒍᐆᓚᐧᐸᒻ, ?
dhei, "strong drink {alcohol or coffee}, essence, extract, liquor", N, ᕞᐤ, 酒
eipih, apple, NN, ᐁᐤᐱᒃ, ?
Feĩ{/Fĩ}, beauty, N, ᙮ᕓᐤ{/ᕖ}, ?
FeĩDen, "season, year/round of seasons", AN, ᙮ᕓᐤ᙮ᑌᓐ, ?
FeĩLaf, "clothing, costume {esp. fashionable}", AN, ᙮ᕓᐤ᙮ᓚᕝ, ?
feĩliw, "barrel {anatomy}", AN, ᕓᐤᓕᔾ, ?
fĩc, "book, scroll, letter", N, ᕖᒃ, ?本
fĩlaĩ, "easy", VA, ᕖᓚᐄ, ?
Fĩm, "friendship, friend", N, ᙮ᕖᒻ, 友
FĩmRĩm, "harmony", N+N, ᙮ᕖᒻ᙮ᕇᒻ, 友唱
findoh, "difficult {esp. physically}", VN, ᕕᓐᑐᒃ, ?
Fĩr, "branch {of time}, tree {of time, of stories}", N, ᙮ᕖᕐ, {枝/木}
hekonim, "scientist, wizard, {archaic} sensible hnym", V+N, ᑫᑯᓂᒻ, 学马
hı̊quae, "alicorn pony, herder of the three", VS+N, ᑮᐤᐧᕾ, 測三
hĩr'hnym, "manager, steward, supervisor", V+N, ᑮᕐᐧᑭᓂᒻ, ?
hĩrin, unicorn pony, VS+N, ᑮᕆᓐ, 測理
hĩrrh, "(soul)tribe, soulsong", N, ᑮᕐᕐ, 族
hnym, "pony, sensible being", N, ᑭᓂᒻ, {马/馬}
hundoh'hnym, "doctor, healer, diagnostician", VN+N, ᑰᓐᑐᒃᐧᑭᓂᒻ, ?
KeiFĩm, "party, gathering", N+N, ᙮ᑫᐤ᙮ᕖᒻ, 会友
Kin, "{of the hnym}, hnym/pony {collective}", N, ᙮ᑭᓐ, {马/馬}
kĩrm{/kirm}, "unicorn{/ordinary} horn", N, {ᑮ/ᑭ}ᕐᒻ, ?角
Kor, mess/chaos, N, ᙮ᑯᕐ, ?乱
larĩm, "fun, amusement", N+N, ᓚᕇᒻ, ?
leĩkien, "tomorrow", V+N, ᓓᐤᑭᐁᓐ, ?
Lo{/Lu}, "moon, moonlight", N, ᙮ᓗ{/ᓘ}, 月
LoTen, "month, moon", NN, ᙮ᓗ᙮ᑌᓐ, ?
lunim, "living creature, animal", V+N, ᓘᓂᒻ, ?
Mĩf, magic, N, ᙮ᒦᕝ, 法
mĩfinim, "magician, mage", N'+N, ᒦᕕᓂᒻ, 法马
mitfe'hnym, "merchant {polite}", NV+N, ᒦᑦᕓᐧᑭᓂᒻ, ?
mĩl, "water", N, ᙮ᒦᓪ, ?
Mĩl, "sea, lake, natural water", N, ᙮ᒦᓪ, ?
Mĩr, atmosphere/weather, N, ᙮ᒦᕐ, 天
Mun, "zero, nothing", N, ᒨᓐ, ?
Nir, illogic/obstinacy, N, ᙮ᓂᕐ, 頑
Noh, "body, {carry, burden, back}", N, ᙮ᓄᒃ, ?
plets, "{chorı̊ma} fish", N, ᑉᓓᒡ, ?
qa{/qu}tei'yo{/yu}shi, "fate emblem, cutie mark", N+N, ᖃ{/ᖂ}ᑌᐤᐧᔪ{/ᔫ}ᔑ, 言吾呈字
Quaehĩrrh, "the Three Tribes, Equestria", A+N, ᙮ᕾᑮᕐ, 三族
{Raaum/Raaulm}, "the Realm, the world, universe", N, ᙮ᕌᐤᒻ, ?
rekien, yesterday, V+N, ᕂᑭᐁᓐ, ?
Rĩf, freedom, N, ᙮ᕇᕝ, 活
Rĩm, "vibe, harmony, language", N, ᙮ᕇᒻ, 唱
Rin, "logic, reason", N, ᙮ᕆᓐ, 理
roun, "round of days, week {NB duration unspecified/indeterminate}", N, ᕈᐤᓐ, ?
ruhĩr'hnym, "guardian, police officer, town guard", VV+N, ᕉᑮᕐᐧᑭᓂᒻ, ?
siliw, stomach, AN, ᓯᓕᔾ, ?
Tai, "sun, sunlight, light", N, ᙮ᑕᐃ, 日
TaiDen, "year {by solar precession}", NN, ᙮ᑕᐃ᙮ᑌᓐ, ?
Taikien, today, N, ᙮ᑕᐃᑭᐁᓐ, ?
Tau, "truth, good", N, ᙮ᑖ, 真
təcher, "arm, foreleg", NN, ᑌᒉᕐ, ?
tef, "head", N, ᑌᕝ, ?
Tei, "true Self, oversoul", N, ᙮ᑌᐤ, {吾/星}
tər, "head, neck and forelegs {as a manipulating apparatus}", N, ᑌᕐ, ?{首/手}
tərdoh, "difficult, hard to handle", NA, ᑌᕐᑐᒃ, ?
tərfinoh, "saddlebag, bag", NVN, ᑌᕐᕕᓄᒃ, ?
tərnoh, "back", NN, ᑌᕐᓄᒃ, ?
tərliw, "chest", NN, ᑌᕐᓕᔾ, ?
tərpam, "muffin", NN, ᑌᕐᐸᒻ, ?
thai, "extract, infusion, tea", N, ᕦᐃ, 茶
ulmi'hnym, "nurse", PN+V+N, ᐆᓪᒥᐧᑭᓂᒻ, ?
urcher, "hindleg", PN+N, ᐆᕐᒉᕐ, ?
yotaf'hnym, "engineer, drafter, architect", VV+N, ᔪᑕᕝᐧᑭᓂᒻ, ?
