RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
aulaau'hnym, "background pony, distant acquaintance", AA+N, ᐋᓛᐤᐧᑭᓂᒻ, ?
Aaulĩf, "the Great Wind {cf Earth multiversal locality}", AN, ᙮ᐋᐤ᙮ᓖᕝ, ?
Aaul'tum, "the Great/Infinite Herd", AV+PN, ᙮ᐋᐤᓪᐧᑑᒻ, ?
Aaumĩr, "atmosphere {metaphysics}, The Great Sky, multiversal weather conditions", AN, ᙮ᐋᐤᒦᕐ, ?
ArAauTeiNim, "sum of all TeiNim, *the Greatest of Gods", AANN, ᙮ᐊᕐ᙮ᐋᐤ᙮ᑌᐤ᙮ᓂᒻ, ?
AulTeiNim, "watchful TeiNim {characteristic of aultum'hnym}", VNN, ᙮ᐋᓪ᙮ᑌᐤ᙮ᓂᒻ, ?
AuNim, "alternate self, greater self", AN, ᙮ᐋ᙮ᓂᒻ, ?
alubip'hnym, "money-grubber, merchant {condescending}", VN+N, ᐊᓘᐲᑉᐧᑭᓂᒡ, ?
alulaaun, "trading hours, trading window", VN, ᐊᓘᓛᐤᓐ, ?
alulam, "marketplace, town market", VN, ᐊᓘᓚᒻ, ?
alulin, "trading firm", VN, ᐊᓘᓕᓐ, ?
alurin, "discussion, deliberation", VN, ᐊᓘᕆᓐ, ?
alurĩm, "conversation, discussion, exchange of vibes", VN, ᐊᓘᕇᒻ, ?
antau'rĩh, "moral resolution, idea for improvement, __ lesson", PN+N, ᐊᓐᑖᐧᕇᒃ, ?
ArAuYeReTal, "main station, central station", AANVN, ᙮ᐊᕐ᙮ᐋ᙮ᔦ᙮ᕂ᙮ᑕᓪ, ?
archedh, "upper flank / thigh / ??hip", PN+N, ᐊᕐᒉᕪ, ?
arfĩmar, "eldest brother", PN+VN, ᐊᕐᕖᒪᕐ, ?
ar{fĩ/feĩ}mĩn, "eldest sister", PN+VN, ᐊᕐ{ᕖ/ᕓᐤ}ᒦᓐ, ?
arhĩmar, "king, chancellor, patriarch", PN+VN, ᐊᕐᑮᒪᕐ, ?
arhĩmĩn, "queen, matriarch", PN+VN, ᐋᕐᑮᒦᓐ, ?
ArHitYeReTal, "central station", ANNVN, ᙮ᐊᕐ᙮ᑭᑦ᙮ᔦ᙮ᕂ᙮ᑕᓪ, ?
ar'keref, griffon {emphasizing power}, A+N, ᐊᕐᐧᑫᕂᕝ, ?
arleĩf, "lift, updraft", P+N, ᐊᕐᓓᐤᕝ, ?
arleĩt, "recognition, promotion, praise", P+N, ᐊᕐᓓᐤᑦ, ?
arLo, "great moon {according to precession; indeterminate, approx 9~16 months}", AN, ᐊᕐ᙮ᓗ, ?
arluth, "raised voice, yelling", AN, ᐊᕐᓘᕪ, ?
armĩn, "matriarch", PN+N, ᐊᕐᒦᓐ, ?
Arruĩ, "great/giant/elder dragon", AN, ᙮ᐊᕐᕉᐄ, ?
ArTahFĩr, "major/disruptive timequake", AVN, ᙮ᐊᕐ᙮ᑕᒃ᙮ᕖᕐ, ?
ArTeiRĩBĩm, "ancient TeiRĩBĩm, one of {?708} syllabic morphemes whose meaning was believed to be magically inherent in hnym reality", A+NVN, ᙮ᐊᕐ᙮ᑌᐤ᙮ᕇ᙮ᐲᒻ, ?
arteiw, "ear {esp. on a hnym}", PN+N, ᐊᕐᑌᐤᔾ, ?
artelaaum, "yard", PN+N, ᐊᕐᑌᓛᐤᒻ, ?
arusmar, "grandfather / ancestor", PN+PN+N, ᐊᕐᐆᔅᒪᕐ, ?
arusmĩn, "grandmother / ancestor", PN+PN+N, ᐊᕐᐆᔅᒦᓐ, ?
ar'yan, upwards, PN+N, ᐊᕐᐧᔭᓐ, ?
ashaurin, "curriculum, scheme of teaching", VAN, ᐊᔥᐋᕆᓐ, ?
ashaurĩm, "teaching, know-how to be passed on", VAN, ᐊᔥᐋᕇᒻ, ?
ashmit, "homework, academic work", VN, ᐊᔥᒥᑦ, ?
astau'rĩh, "consolation, cheering thought", PN+N, ᐊᔅᑖᐧᕇᒃ, ?
astefĩr, "results, consequences", P+N, ᐊᔅᑌᕖᕐ, ?
aste'laaun, "results, consequences", P+PN, ᐊᔅᑌᐧᓛᐤᓐ, ?
aulah, "window", VN, ᐋᓚᒃ, ?
aulan, "point of view, viewpoint on a {timeline / series of events}", V', ᐋᓚᓐ, ?
aulchedh, "upper flank, where the qatei'yoshi is visible", V+N, ᐋᓪᒉᕪ, ?
aulchom, attention/focus, V+V', ᐋᓪᒍᒻ, ?
AulFaf, "ornament, decoration", VN, ᙮ᐋᓪ᙮ᕙᕝ, ?
AulFah, "ornament, bangle, stage set", VN, ᙮ᐋᓪ᙮ᕙᒃ, ?
AulFaĩ, "ornament, jewelry", VN, ᙮ᐋᓪ᙮ᕙᐄ, ?
aulih, "observation {as noticed}", V', ᐋᓕᒃ, ?
auliw, "sight, eyesight", VN, ᐋᓕᔾ, ?
aulkor, "unsightly, hideous", V+N, ᐋᓪᑯᕐ, ?
AulMĩm, "augury, multiply-interpretable image/illusion", VN, ᙮ᐋᓪ᙮ᒦᒻ, ?
aultei, "eyes, gaze", VN, ᐋᓪᑌᐤ, ?
aulteif, "expression of the eyes, eyes, gaze", VN, ᐋᓪᑌᐤᕝ, ?
auluth, "raised voice, yelling", AN, ᐋᓘᕪ, ?
AuMĩr, "open sky", AN, ᙮ᐋ᙮ᒦᕐ, ?
aurihĩ'lom, "lecture hall / classroom", V+N, ᐋᕆᑮᐧᓗᒻ, ?
aurihĩnim, "lecturer, {?sometimes} student/examinee", VN, ᐋᕆᑮᓂᒻ, ?
aurihĩshi, "lecture notes, summary notes", VVVN, ᐋᕆᑮᔑ, ?
aurihĩyĩm, student, VN, ᐋᕆᑮᔩᒻ, ?
aurĩ'rĩm, "lecture, discussion", VV+N, ᐋᕇᐧᕇᒻ, ?
aurĩshi, "lecture notes", VVN, ᐋᕇᔑ, ?
{aur/ar}roh, "large bull", {V/PN}+N, {ᐋᕐ/ᐊᕐ}ᕈᒃ, ?
auriw, "ear", VN, ᐋᕆᔾ, ?
auriwyi, "rabbit", ?N, ᐋᕆᔾᔨ, ?
aurmit, "homework", VN, ᐋᕐᒥᑦ, ?
autan, "point of view, personal/subjective experience of a situation", V', ᐋᑕᓐ, ?
autan'rĩh, "personal/subjective opinion", V'+N, ᐋᑕᓐᐧᕇᒃ, ?
ayiche'hnym, "assistant, 'handyman' cf repairs", VN+N, ᐊᔨᒉᐧᑭᓂᒻ, ?
ayichet, "helping hoof", V+N, ᐊᔨᒉᑦ, ?
