RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
ih, 1 / one, Num, ᐃᕝ, 一
ti, 2 / two, Num, ᑎ, 二
quae, 3 / three, Num, ᕾ, 三
yi-, 4 / four/more, Num/A, ᔨ, {四/ᔨ}
leĩ, 5 / five, Num, ᓓᐤ, 五
fĩf, 6 / six, Num, ᕖᕝ, 六
leyĩm, 7 / seven, Num, ᓓᔩᒻ, 七
tui'yi, 8 / eight (twice four), Num, ᑑᐃᐧᔨ, 八
quae'fui, 9 / nine (three thrice), Num, ᕾᐧᕘᐃ, 九
tui'leĩ, 10 / ten (twice five), Num, ᑑᐃᐧᓓᐤ, 十
en'fĩrrh, 11 / eleven (less twelve), Num, ᐁᓐᐧᕖᕐ, ?
fĩrrh, 12 / twelve, Num, ᕖᕐ, ?
chef, 13 / thirteen, Num, ᒉᕝ, ?
yi'cerf, 14 / fourteen (more thirteen), Num, ᔨᐧᒉᕝ, ?
leĩ'fui, 15 / fifteen (five thrice), Num, ᓓᐤᐧᕘᐃ, ?
khĩmri, 16 / team (sixteen), Nc, ᑮᒻᕆ, ?
tui-, twice, A, ᑑᐃ, ?
fui-, thrice, A, ᕘᐃ, ?
rĩche-, count, V+N', ᕇᒉ, ?
rĩchet, number, V+N, ᕇᒉᑦ, ?
