RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
a-, on/onto, P, ?, ?
Aau-, great, A, ?, ?
an-, in/into, P, ?, ?
au-, big, A, ?, ?
ih, one, A, ?, ?
le-, "you {over there}", PS, ?, ?
lu-, "there {with you}", PS, ?, ?
lum, "that {with you}", PN, ?, ?
n-, "{de-propering particle}", P, ?, ?
na-, of/from, P, ?, ?
quae, three, A, ?, ?
ra-, "they, you {over there}, there {over there}", PS, ?, ?
raau-, "all, every-", PS, ?, ?
te-, "I/me", PS, ?, ?
ti, two, A, ?, ?
tu-, "here", PS, ?, ?
tum, "this", PN, ?, ?
yi-, four/more, A, ?, ?
yiyi-, "ever more", A, ?, ?
