RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
a-/an-, in/into, P, ᐊ{ᓐ}, ?
Aau-, Great, A, ᙮ᐊᐤ, {大/?}
ar-, big/great {cf arkhĩm}, A, ᐊᕐ, {大/?主/?頭}
arosh-, old/aged {cf ozha}, A, ᐊᕈᔥ, 古
arTau, "wonderful", A+N, ᐋᕐ᙮ᑖ, 大真
au-, big, A, ᐋ, {大/?}
che, and/with, P, ᒉ, ?
che'li, "and, and then, and also", P', ᒉᓓ, ?
da-, some-, A, ᑕ, ?
dani, something, N, ᑕᓂ, ?
di-, "what/who {interrogative}", A, ᑎ, ?
di'Haĩ?, "what the hay?", AN, ᑎᐧ᙮ᑲᐄ, ?
di'leni?, "you are?", A+PN+V, ᑎᓓᓂ, ?
dimil?, "why {what cause}?", A+N', ᑎᒥᓪ, ?
dini?, "what?", P+V, ᑎᓂ, ?
dinim?, "who?", P+N, ᑎᓂᒻ, ?
drək, "would you like?", ?P, ᑎᕂᒃ, ?
en-, "less / one less", A, ᐁᓐ, ?
er-, "{object marker}", P, ᐁᕐ, ?
əru, "{greeting, casual}", P, ᐁᕉ, ?
he-, proper, A, ᑫ, ?
hef!, {greeting}, P, ᑫᕝ, ?
hien/hĩen, "calm / sorry", P, {ᑭ/ᑮ}ᐁᓐ, ?
il-, "small", A, ᐃᓪ, 少
ilsha, "younger", A, ᐃᓪᔕ, ?
lam, "that place {with you}", PN, ᓚᒻ, ?
le-, "you {over here}", PS, ᓓ, ?
le'hnym, "you hnym", PN, ᓓᐧᑭᓂᒻ, ?
le'ir, "you {over here, multiple}", PN, ᓓᐧᐃᕐ, ?
lu-, "there {with you}", PS, ᓘ, ?
lum, "that {with you}", PN, ᓘᒻ, ?
na-, of/from, P, ᓇ, ?
naĩ-, "no- {none}", PS, ᓇᐄ, ?
nar-, for, P, ᓇᕐ, ?
neĩ, no/nay, P, ᓀᐤ, ?
no-, but/except, P, ᓄ, ?
ozha, "elder", A, ᐅᔕ, ?
qihĩrĩ, "quaehĩrrh'rĩm {abbrev}", A, ᕿᕖᕇ, ?
ra-, "they, you {over there}, there {over there}", PS, ᕋ, ?
ra'hnym, "they, that hnym", PN, ᕋᐧᑭᓂᒻ, ?
rai-, "every-{local}-", PS, ᕋᐃ, 皆
ram, "that {over there}", PN, ᕋᒻ, ?
re'ir, "they {multiple}", PN, ᕋᐧᐃᕐ, ?
rum, "near-far, nearby {in higher dimensions} {Pai'Lirĩm dialect}", PN, ᕉᒻ, ?
silai-, soft, ?A, ᓯᓚᐃ, ?
t-, "{mid-propering prefix}", P, ᑦ, ᑦ
tam, "this place {with me}", PN, ᑕᒻ, ?
te'ir, "we", PN, ᑌᐧᐃᕐ, ?
tu-, "here", PS, ᑑ, ?
tum, "this", PN, ᑑᒻ, ?
ur-, below/lower, P, ᐆᕐ, 下
ya-, "called / quote", P, ᔭ, ?
yeĩ, yes/yea, P, ᔦᐤ, ?
yĩh, "yeesh, good grief", P, ᔩᕝ, ?
yirĩm!, "bravo!, let's go!", P, ᔨᕇᒻ, ?
