RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
are-, "come, arrive", VS, ᐊᕂ, ?
aul-, "look, see", VS, ᐋᓪ, ?
eni-, "branch out, spread, become", VS, ᐁᓂ, {支/栄}
fe-, "can, be able", VS, ᕓ, ?
fet-, "make, create, construct", VS, ᕓᑦ, ?
heko-, "study, understand", VS, ᑫᑯ, {習/学}
ki-/hi-, "cultivate, strive", VS, ᑭ, {競/労}
larĩ-, "to laugh, to have fun", VS, ᓚᕇ, ?
lu-, "live, flourish", VS, ᓘ, {生/栄}
mi-, "do, make happen, show", VS, ᒥ, ?
mifin-, "use, make use of", VS, ᒥᕕᓐ, ?
ni-, "be, exist", VS, ᓂ, {在/居}
qu-, "say, speak, do, write", VS, ᖂ, {言/書}
re-, "go, ride, gallop", VS, ᕂ, ?
rĩ-/ri-, "say, read, show, express, do, act", VS, ᕇ/ᕆ, {曰/唱}
yipan-, "cook, bake", A+VS, ᔨᐸᓐ, ?
yo-, "express, display, make evident", VS, ᔪ, {曰/呈}
